Outcome,effect,term,estimate,std.error,statistic,conf.low,conf.high
SMMI,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.123622231778895,0.035716922737042425,3.4611669288822853,0.0536183495756921,0.1936261139820979
SMMI,fixed,followup_period6–12m:SurgeryTypeNameOAGB,0.16164311410607338,0.04362732301169229,3.7050889889061587,0.076135132261261,0.24715109595088575
SMMI,fixed,followup_period12–24m:SurgeryTypeNameOAGB,-0.009189041814385991,0.055905197337903834,-0.16436829225099261,-0.11876121514528198,0.10038313151651002
SMMI,fixed,followup_period>24m:SurgeryTypeNameOAGB,-0.27148936014910774,0.06504923625219852,-4.173597966570007,-0.3989835204252541,-0.14399519987296142
SMMI,fixed,followup_period0–1m:SurgeryTypeNameRYGB,0.16028730552442919,0.0871999470643301,1.838158289318459,-0.010621450175456987,0.33119606122431533
SMMI,fixed,followup_period1–6m:SurgeryTypeNameRYGB,0.10769728167542889,0.05580283830621023,1.9299606425833609,-0.001674271639855257,0.21706883499071303
SMMI,fixed,followup_period6–12m:SurgeryTypeNameRYGB,0.1260527390285866,0.06257529608436578,2.014416981082099,0.003407412381299435,0.24869806567587377
SMMI,fixed,followup_period12–24m:SurgeryTypeNameRYGB,0.10068049107881089,0.07555279833319464,1.3325845408769752,-0.04740027258546842,0.2487612547430902
SMMI,fixed,followup_period>24m:SurgeryTypeNameRYGB,-0.06368311739338994,0.08429338083948436,-0.7554936907164573,-0.22889510797389792,0.10152887318711803
ASM,fixed,(Intercept),27.872017287934064,0.41425984174493574,67.28148490216236,27.060082917872727,28.6839516579954
ASM,fixed,followup_period0–1m,-2.2543789039134725,0.163412169148916,-13.795661092161858,-2.574660870080915,-1.93409693774603
ASM,fixed,followup_period1–6m,-3.1323582494787927,0.08981305144461892,-34.87642607723096,-3.3083885956518886,-2.956327903305697
ASM,fixed,followup_period6–12m,-4.571655577484045,0.11044555611277294,-41.392843120062274,-4.788124889717578,-4.355186265250513
ASM,fixed,followup_period12–24m,-5.312676855781514,0.14193389348722235,-37.4306427115648,-5.590862175202013,-5.034491536361014
ASM,fixed,followup_period>24m,-4.975666379600422,0.16958260196373154,-29.34066538656225,-5.308042171853927,-4.643290587346916
ASM,fixed,SurgeryTypeNameOAGB,-0.02749154755059022,0.22505270081583773,-0.12215604367746181,-0.4685867357731001,0.4136036406719196
ASM,fixed,SurgeryTypeNameRYGB,0.7354027673949475,0.34555670757156387,2.1281681162060715,0.05812406593844299,1.412681468851452
ASM,fixed,Age,-0.07944915932787125,0.009595645171626574,-8.279710004575303,-0.09825627827268499,-0.060642040383057504
ASM,fixed,SexMale,12.29832764247868,0.23425483166861194,52.4997822024712,11.839196609203709,12.757458675753652
ASM,fixed,T2DM_FBSYes,0.05761451551286218,0.2658751567720506,0.21669762685747385,-0.4634912161442975,0.5787202471700219
ASM,fixed,HTN_FBSYes,0.40267357375962404,0.258993631133819,1.55476245495615,-0.10494461548791273,0.9102917630071607
ASM,fixed,Hypothyroidism_FBSYes,0.05186567471392651,0.23983135358374857,0.2162589417059481,-0.41819514067371183,0.5219264901015649
ASM,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.3904132252467119,0.1930099063774871,2.022762626925196,0.012120760087389548,0.7687056904060343
ASM,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.4110858149002022,0.10679787983952292,3.849194530059114,0.20176581678950098,0.6204058130109034
ASM,fixed,followup_period6–12m:SurgeryTypeNameOAGB,0.508491970513452,0.1304736787432374,3.8972762584101486,0.2527682592462575,0.7642156817806465
ASM,fixed,followup_period12–24m:SurgeryTypeNameOAGB,0.045130602721089486,0.16721303185742512,0.2698988363512856,-0.2826009174652124,0.37286212290739135
ASM,fixed,followup_period>24m:SurgeryTypeNameOAGB,-0.6947229477897194,0.19458008564007365,-3.5703702437195437,-1.076092907752983,-0.3133529878264558
ASM,fixed,followup_period0–1m:SurgeryTypeNameRYGB,0.5892022578991966,0.26078796909149377,2.259315335564745,0.07806723087852407,1.1003372849198692
ASM,fixed,followup_period1–6m:SurgeryTypeNameRYGB,0.5229324402007988,0.16685881349316126,3.133981533568985,0.19589517525111677,0.8499697051504808
ASM,fixed,followup_period6–12m:SurgeryTypeNameRYGB,0.5958594544898846,0.18713287562410966,3.184151648942629,0.2290857579432164,0.9626331510365529
ASM,fixed,followup_period12–24m:SurgeryTypeNameRYGB,0.5447223516338298,0.22595205464355234,2.410787334920009,0.10186446229964102,0.9875802409680186
ASM,fixed,followup_period>24m:SurgeryTypeNameRYGB,0.106402781387439,0.25212370066110235,0.4220260971437297,-0.38775059155727887,0.6005561543321569
